         regressor    cutoff                                                                                                                                   influential_points
0    dfb_Intercept  0.101015                                  [16, 31, 57, 62, 84, 113, 125, 167, 175, 196, 239, 246, 264, 296, 303, 309, 342, 345, 365, 370, 374, 379, 380, 389]
1          dfb_CYL  0.101015                                                [1, 3, 6, 7, 8, 9, 45, 87, 125, 157, 167, 175, 209, 215, 216, 223, 265, 301, 309, 341, 342, 388, 389]
2         dfb_DISP  0.101015                                                                    [6, 7, 9, 14, 27, 29, 129, 140, 155, 156, 159, 175, 203, 264, 299, 342, 365, 388]
3           dfb_HP  0.101015                                                         [9, 14, 26, 27, 29, 45, 57, 113, 117, 125, 155, 156, 214, 216, 264, 301, 365, 367, 370, 388]
4          dfb_WGT  0.101015                                                 [9, 14, 45, 57, 113, 117, 125, 140, 156, 159, 167, 196, 216, 265, 299, 301, 345, 365, 367, 388, 390]
5          dfb_ACC  0.101015                                                   [12, 14, 27, 29, 45, 57, 61, 113, 155, 156, 175, 196, 214, 299, 301, 302, 309, 365, 379, 388, 392]
6          dfb_MYR  0.101015                                                        [1, 16, 31, 57, 62, 84, 113, 265, 299, 301, 342, 345, 365, 366, 367, 370, 374, 388, 389, 390]
7        dfb_ORG_2  0.101015                                             [20, 24, 51, 52, 53, 78, 103, 118, 119, 143, 173, 184, 210, 275, 276, 278, 298, 305, 327, 328, 336, 361]
8        dfb_ORG_3  0.101015                                                   [15, 72, 112, 211, 242, 244, 248, 271, 274, 319, 321, 323, 330, 334, 335, 346, 359, 362, 385, 391]
9    dfb_ORG_2:CYL  0.101015                                      [24, 51, 52, 53, 118, 123, 143, 167, 181, 184, 208, 210, 243, 275, 276, 277, 278, 300, 301, 328, 329, 336, 361]
10  dfb_ORG_2:DISP  0.101015                                    [20, 21, 24, 51, 52, 53, 78, 103, 118, 119, 143, 148, 173, 184, 210, 276, 298, 305, 327, 328, 336, 361, 365, 388]
11    dfb_ORG_2:HP  0.101015                                        [20, 23, 24, 52, 53, 60, 103, 120, 123, 181, 184, 210, 243, 275, 276, 277, 278, 298, 305, 328, 361, 388, 395]
12   dfb_ORG_2:WGT  0.101015  [14, 20, 21, 23, 24, 51, 53, 60, 103, 118, 119, 120, 125, 143, 167, 173, 184, 208, 210, 245, 276, 277, 278, 301, 305, 328, 336, 361, 365, 388, 395]
13   dfb_ORG_2:ACC  0.101015                     [14, 22, 23, 24, 52, 53, 60, 103, 120, 143, 184, 210, 245, 277, 278, 298, 299, 301, 305, 310, 326, 327, 328, 333, 361, 365, 395]
14   dfb_ORG_2:MYR  0.101015                             [20, 21, 22, 23, 24, 51, 52, 53, 60, 78, 103, 120, 243, 245, 275, 277, 299, 305, 310, 326, 327, 333, 336, 365, 388, 395]
15   dfb_ORG_3:CYL  0.101015                                                      [109, 112, 124, 167, 211, 242, 269, 271, 274, 301, 319, 321, 323, 330, 334, 358, 362, 363, 391]
16  dfb_ORG_3:DISP  0.101015                                                                 [72, 112, 211, 242, 244, 248, 269, 271, 274, 321, 323, 325, 335, 363, 365, 388, 391]
17    dfb_ORG_3:HP  0.101015                                                             [55, 82, 109, 145, 199, 211, 242, 248, 269, 271, 274, 321, 323, 330, 334, 358, 359, 378]
18   dfb_ORG_3:WGT  0.101015                                                   [55, 72, 109, 112, 211, 242, 244, 269, 271, 274, 321, 323, 325, 330, 334, 335, 346, 359, 365, 378]
19   dfb_ORG_3:ACC  0.101015                             [19, 30, 55, 72, 82, 109, 112, 145, 236, 242, 248, 271, 274, 299, 301, 304, 321, 325, 330, 335, 347, 358, 365, 378, 385]
20   dfb_ORG_3:MYR  0.101015                                     [15, 19, 30, 112, 145, 211, 242, 248, 274, 299, 321, 323, 325, 334, 335, 346, 347, 358, 365, 378, 385, 388, 390]
