             CooksD  CooksD_flag  StdResid  StdResid_flag  StudResid  StudResid_flag    DFFITS  DFFITS_flag  COVRATIO  COVRATIO_flag  DFBETAS_flag
1.0    1.501645e-04        False  0.373612          False   0.373179           False  0.056090        False  0.988733          False          True
2.0    2.265513e-03        False  1.263957          False   1.264979           False  0.218295        False  1.073708          False         False
3.0    2.571543e-04        False  0.418560          False   0.418095           False  0.073405        False  0.995411          False          True
4.0    6.491711e-04        False  0.604450          False   0.603932           False  0.116659        False  1.080172          False         False
5.0    4.477552e-03        False  1.527448          False   1.530207           False  0.307195        False  1.075325          False         False
6.0    3.695156e-03        False  1.064630          False   1.064822           False  0.278615        False  0.964363          False          True
7.0    1.953885e-03        False  0.851323          False   0.851007           False  0.202487        False  1.060400          False          True
8.0    7.001733e-03        False  1.405935          False   1.407794           False  0.383960        False  1.073245          False          True
9.0    2.968171e-04        False  0.405032          False   0.404575           False  0.078861        False  1.016378          False          True
10.0   8.038215e-07        False -0.019886          False  -0.019859           False -0.004103        False  1.088372          False         False
11.0   1.968483e-03        False -0.967640          False  -0.967556           False -0.203300        False  1.103469          False         False
12.0   7.578362e-09        False -0.001610          False  -0.001608           False -0.000398        False  1.047929          False          True
13.0   1.038931e-02        False -0.838457          False  -0.838121           False -0.466905        False  1.123273          False         False
14.0   2.956435e-03        False  0.833861          False   0.833518           False  0.249066         True  1.332610           True          True
15.0   2.776638e-03        False  1.450769          False   1.452940           False  0.241835        False  1.108282          False          True
16.0   1.940801e-04        False -0.382283          False  -0.381843           False -0.063768        False  0.965154          False          True
17.0   6.918301e-04        False  0.625373          False   0.624859           False  0.120435        False  1.078869          False         False
18.0   7.022652e-03        False  1.244525          False   1.245449           False  0.384311        False  1.073588          False         False
19.0   9.994352e-03        False -1.001258          False  -1.001262           False -0.458130        False  1.061602          False          True
20.0   1.107310e-02        False  1.686981          False   1.691205           False  0.483426        False  1.209181           True          True
21.0   4.628741e-03        False  1.164653          False   1.165214           False  0.311925         True  0.973860          False          True
22.0   1.018179e-02        False  1.371806          False   1.373444           False  0.462956        False  1.050191          False          True
23.0   7.188674e-02        False  2.653641          False   2.675576           False  1.238823         True  1.059191          False          True
24.0   5.799145e-04        False  0.609356           True   0.608839            True  0.110261         True  0.859409          False          True
25.0   8.532463e-04        False -0.472221          False  -0.471726           False -0.133718        False  1.070283          False         False
26.0   3.793494e-03        False -0.873441          False  -0.873161           False -0.282157        False  1.129011          False          True
27.0   2.771111e-04        False -0.239202          False  -0.238898           False -0.076188        False  1.119380          False          True
28.0   2.751497e-03        False -0.615496          False  -0.614980           False -0.240176        False  1.162183           True         False
29.0   3.268063e-03        False  0.939594          False   0.939445           False  0.261931        False  1.193846           True          True
30.0   4.539011e-03        False  1.695589          False   1.699901           False  0.309523        False  1.084927          False          True
31.0   8.735243e-04        False  0.422046          False   0.421578           False  0.135290        False  0.928603          False          True
32.0            NaN        False       NaN          False        NaN           False       NaN        False  1.155595          False         False
33.0   9.257847e-04        False -0.765943          False  -0.765516           False -0.139355        False  1.057648          False         False
34.0   2.589838e-04        False -0.495573          False  -0.495069           False -0.073672        False  1.066815          False         False
35.0   4.766838e-05        False -0.207324          False  -0.207056           False -0.031598        False  1.080333          False         False
36.0   5.837144e-04        False  0.580350          False   0.579831           False  0.110617        False  1.076113          False         False
37.0   4.338964e-05        False  0.213488          False   0.213213           False  0.030147        False  1.076694          False         False
38.0   1.353917e-04        False  0.446837          False   0.446354           False  0.053264        False  1.061322          False         False
39.0   8.403821e-04        False  0.883092          False   0.882830           False  0.132806        False  1.035484          False         False
40.0   1.338829e-04        False  0.477459          False   0.476961           False  0.052969        False  1.057630          False         False
41.0   6.378344e-05        False  0.268838          False   0.268502           False  0.036553        False  1.073530          False         False
42.0   4.692094e-04        False  0.470435          False   0.469941           False  0.099160        False  1.091672          False         False
43.0   8.667130e-04        False  0.757513          False   0.757077           False  0.134833        False  1.056964          False         False
44.0   5.724947e-03        False  1.453126          False   1.455314           False  0.347255        False  0.992220          False          True
45.0   3.269824e-04        False -0.519016          False  -0.518505           False -0.082783        False  1.068866          False         False
46.0   1.721130e-05        False  0.094377          False   0.094250           False  0.018986        False  1.100708          False         False
47.0   4.011699e-04        False  0.591859          False   0.591340           False  0.091705        False  1.062482          False         False
48.0   1.844336e-04        False -0.314294          False  -0.313912           False -0.062159        False  1.093680          False         False
49.0   4.346353e-04        False -0.482585          False  -0.482085           False -0.095438        False  1.085388          False         False
50.0   2.094839e-02        False  1.888312          False   1.894894           False  0.665574         True  0.970646          False          True
51.0   8.781516e-03        False  1.185226          False   1.185874           False  0.429667        False  1.105570          False          True
52.0   1.134185e-02        False  1.760435          False   1.765450           False  0.489426         True  0.955581          False          True
53.0   1.985123e-03        False  0.628837          False   0.628323           False  0.204009        False  1.143979          False         False
54.0   1.441696e-02        False  1.348940          False   1.350436           False  0.550843         True  1.113308          False          True
55.0   1.101126e-03        False -0.413998          False  -0.413535           False -0.151895        False  1.189501           True         False
56.0   4.261199e-03        False  1.137085          False   1.137535           False  0.299259        False  1.051571          False          True
57.0   1.337958e-04        False -0.190239          False  -0.189992           False -0.052938        False  1.138146          False         False
58.0   1.516536e-04        False  0.303840          False   0.303468           False  0.056364        False  1.089119          False         False
59.0   2.991418e-02        False -2.082618           True  -2.092074            True -0.796188         True  0.946474          False          True
60.0   1.241021e-03        False -0.735795          False  -0.735340           False -0.161336        False  1.075760          False          True
61.0   1.756500e-03        False -1.126322          False  -1.126731           False -0.192128        False  1.013502          False          True
62.0   5.955807e-05        False -0.302427          False  -0.302056           False -0.035322        False  1.067249          False         False
63.0   3.297904e-04        False  0.587267          False   0.586748           False  0.083147        False  1.058689          False         False
64.0   3.955413e-04        False  0.726477          False   0.726013           False  0.091081        False  1.043313          False         False
65.0   5.558465e-06        False  0.105013          False   0.104873           False  0.010790        False  1.068852          False         False
66.0   5.522466e-04        False  0.718488          False   0.718019           False  0.107620        False  1.050910          False         False
67.0   1.113316e-03        False -0.762837          False  -0.762406           False -0.152818        False  1.065140          False         False
68.0   3.298257e-05        False  0.194779          False   0.194527           False  0.026284        False  1.075327          False         False
69.0   1.573456e-04        False -0.463174          False  -0.462683           False -0.057422        False  1.061644          False         False
70.0   9.624067e-05        False  0.287310          False   0.286954           False  0.044901        False  1.079174          False         False
71.0   1.001090e-02        False -0.925601          False  -0.925422           False -0.458418        False  1.255549           True          True
72.0   3.039597e-05        False  0.179032          False   0.178798           False  0.025232        False  1.077437          False         False
73.0   4.471042e-04        False -0.634358          False  -0.633846           False -0.096820        False  1.058607          False         False
