y,x1,x2,x3,x1x2,x1x3,x2x3,x1_Sqr,x2_Sqr,x3_Sqr
0.27979,0.28022,-0.22554,-0.23106,-0.33766,-0.02085,0.30952,0.07829,-0.04116,-0.03452
0.30583,0.28022,-0.15704,-0.23106,-0.25371,-0.02085,0.23659,0.07829,-0.1327,-0.03452
0.31234,0.28022,-0.06584,-0.23514,-0.14179,-0.02579,0.14058,0.07829,-0.20378,-0.02735
0.26894,0.28022,0.04817,-0.2229,0.00189,-0.01098,0.0196,0.07829,-0.2107,-0.04847
0.24724,0.28022,0.20777,-0.21882,0.19398,-0.00605,-0.14065,0.07829,-0.06745,-0.05526
0.18214,0.28022,0.48139,-0.23106,0.52974,-0.02085,-0.44415,0.07829,0.59324,-0.03452
0.1759,-0.04003,-0.32577,-0.00255,-0.00413,0.25895,0.073,-0.297461,0.15239,-0.23548
-0.09995,-0.04003,-0.22544,-0.01887,-0.02171,0.26177,0.08884,-0.29746,-0.04116,-0.23418
-0.03486,-0.04003,-0.06584,-0.06784,-0.0497,0.27023,0.08985,-0.29746,-0.20378,-0.21822
-0.02401,-0.04003,0.04817,-0.1168,-0.06968,0.27869,0.04328,-0.29746,-0.2107,-0.18419
0.04109,-0.04003,0.20777,-0.05152,-0.09766,0.26741,0.01996,-0.29746,-0.06745,-0.22554
0.05194,-0.04003,0.48139,0.00561,-0.14563,0.25754,0.08202,-0.29746,0.59329,-0.23538
0.458,-0.36029,-0.32577,0.35653,0.45252,-0.29615,-0.46678,0.32879,0.15239,0.24374
0.4146,-0.36029,-0.22544,0.47078,0.29423,-0.47384,-0.42042,0.32879,-0.04116,0.6
-0.33865,-0.36029,-0.06584,0.42187,0.0424,-0.39769,-0.05859,0.32879,-0.20378,0.43527
-0.14335,-0.36029,0.20777,0.37285,-0.3893,-0.32153,-0.42738,0.32879,-0.06745,0.28861
