ord_x1,rr_x2,ts_x3,tc_x4,ee_x5
1.208,1.936,47.765,555.980,19.539
0.806,1.896,47.774,557.186,13.026
0.773,1.908,48.083,562.236,12.505
1.706,1.810,48.521,568.761,22.436
1.381,1.743,48.992,574.829,13.225
1.137,1.718,49.843,583.223,8.564
1.706,1.698,49.299,581.713,20.521
1.611,1.766,50.652,595.202,12.817
1.381,1.690,50.417,594.310,8.206
2.231,1.603,49.905,591.923,24.725
1.758,1.754,50.533,598.169,11.957
1.526,1.759,50.368,597.298,7.491
2.762,2.130,50.103,584.927,35.729
2.522,2.082,50.807,591.597,32.622
1.289,2.200,51.602,602.573,16.673
2.900,1.839,50.899,597.215,31.696
2.320,1.986,51.229,600.325,19.353
2.071,2.000,52.031,610.402,13.972
3.625,1.770,52.546,618.794,36.769
3.222,1.656,51.872,616.357,22.826
3.222,1.889,52.706,621.384,17.537
3.625,1.683,53.323,629.932,34.300
3.412,1.669,51.674,612.174,21.002
3.222,1.858,52.783,625.333,14.699
4.833,2.234,52.421,613.470,52.104
4.143,2.315,53.223,622.417,44.661
3.625,2.405,53.925,629.653,39.078
5.273,2.368,53.566,629.317,49.299
4.462,2.414,54.632,642.673,32.966
4.143,2.513,54.283,638.949,25.305
5.273,2.785,54.300,639.864,46.232
5.273,2.572,55.377,652.587,33.665
5.273,2.660,55.181,650.602,26.470
6.444,2.812,54.685,646.854,53.196
5.800,2.682,54.799,648.481,32.601
5.800,2.692,54.808,648.804,24.715
1.209,1.945,47.686,554.018,19.550
0.804,1.903,47.919,559.000,13.001
0.776,1.900,48.000,560.832,12.548
1.708,1.800,48.864,570.624,22.459
1.379,1.723,49.000,576.062,13.214
1.140,1.701,49.941,585.406,8.573
1.704,1.662,49.412,581.003,20.504
1.615,1.800,50.427,592.981,12.832
1.384,1.713,50.666,596.324,8.213
2.228,1.602,50.000,589.258,24.704
1.760,1.786,50.026,596.871,11.964
1.523,1.800,50.369,599.000,7.486
2.766,2.119,50.232,583.048,35.782
2.549,2.103,51.000,590.005,32.974
1.287,2.224,51.805,604.000,16.649
2.896,1.799,51.000,594.961,31.659
3.322,2.000,51.134,603.426,24.026
2.074,2.036,52.000,606.924,13.981
3.622,1.780,52.500,615.885,36.745
3.226,1.686,51.919,615.109,22.841
3.219,1.923,52.669,624.009,17.530
3.622,1.700,53.419,631.008,34.279
3.410,1.700,51.428,612.887,20.997
3.224,1.901,52.699,628.051,14.702
4.830,2.240,52.664,615.008,52.068
4.140,2.299,52.172,624.097,44.630
3.629,2.400,54.000,630.059,39.121
5.270,2.338,53.316,626.841,49.277
4.460,2.451,54.761,640.984,32.958
4.139,2.497,54.399,640.019,25.291
5.278,2.800,54.418,641.216,46.269
5.276,2.586,55.400,650.000,33.677
5.270,2.558,55.280,652.189,26.463
6.446,2.830,54.806,649.057,53.206
5.780,2.598,54.900,646.189,32.542
5.770,2.700,54.607,650.007,24.664
